ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number
01-TM-ANG-TS50-UK,MUGLER ANGEL EDT-S 50ML,3439600040920.0,48,80.0,32.95,,,0.0,6708708.0
01-VE-BC-TS50-UK,VERSACE BRIGHT CRYSTAL EDT-S 50ML,8011003993819.0,474,74.0,23.95,,,0.0,711898.0
01-VE-EROS-TS100-UK,VERSACE EROS POUR FEMME EDT-S 100ML,8011003827343.0,113,89.0,35.95,,,0.0,
01-VE-RJ-TS75,VERSACE RED JEANS EDT-S 75ML,8018365270756.0,1000+,39.0,9.5,,,0.0,469237.0
01-VE-VER-PS100,VERSACE WOMAN EDP-S 100ML,8018365250468.0,1000+,87.0,17.25,,,0.0,598039.0
01-VE-VER-PS30,VERSACE WOMAN EDP-S 30ML,8018365250161.0,200,,11.95,,,0.0,
01-VE-VER-PS50,VERSACE WOMAN EDP-S 50ML,8018365250260.0,1000+,66.0,12.5,,,0.0,598036.0
01-VE-YD-TS90-UK,VERSACE YELLOW DIAMOND EDT-S 90ML,8011003804566.0,931,95.0,31.95,,,0.0,
01-VR-FB-PS20,VR FLOWERBOMB EDP-S 20ML,3605520983979.0,1000+,45.0,17.95,,,0.0,
01-VR-FB-PS50,VR FLOWERBOMB EDP-S 50ML,3360374000011.0,262,92.0,45.95,,,0.0,811914.0
01-VW-LOVE-PS100,VERA WANG LOVESTRUCK EDP-S 100ML,3607342166875.0,1000+,84.0,12.95,,,0.0,2826537.0
01-VW-PRIN-TS100,VERA WANG PRINCESS EDT-S 100ML,688575179415.0,1000+,64.0,10.95,,,0.0,
01-VW-WOM-PS100,VERA WANG FOR WOMEN EDP-S 100ML,688575001778.0,1000+,82.0,10.95,,,0.0,879814.0
01-YSL-BOCE-PS50,YSL BLACK OPIUM COLLECTORS EDITION EDP-S 50ML,3614273058513.0,11,71.0,45.95,,,0.0,200719612.0
01-YSL-BOIG-PS30,YSL BLACK OPIUM ILLICIT GREEN EDP-S 30ML,3614273642897.0,700,67.0,30.95,,,0.0,
01-YSL-BON-PS30,YSL BLACK OPIUM NEON EDP-S 30ML,3614272824966.0,995,65.0,30.95,,,0.0,7009087.0
01-YSL-BO-PS30,YSL BLACK OPIUM EDP-S 30ML,3365440787858.0,33,67.0,38.5,,,0.0,4399925.0
01-YSL-OPI-PS30,YSL OPIUM EDP-S 30ML,3365440556300.0,144,67.0,36.5,,,0.0,
01-YSL-OPI-PS90,YSL OPIUM EDP-S 90ML,3365440556263.0,584,120.0,60.95,,,0.0,2492909.0
01-YSL-OPI-TS50,YSL OPIUM EDT-S 50ML,3365440556461.0,714,79.0,41.5,,,0.0,2440284.0
01-YSL-OPI-TS90,YSL OPIUM EDT-S 90ML,3365440556386.0,671,105.0,52.95,,,0.0,
02-AF-AUTH-TS100,ABERCROMBIE & FITCH AUTHENTIC MAN EDT-S 100ML,85715166012.0,419,39.0,15.95,,,0.0,6631979.0
02-AF-AUTH-TS50,ABERCROMBIE & FITCH AUTHENTIC MAN EDT-S 50ML,85715166029.0,104,45.0,13.5,,,0.0,6631978.0
02-AF-FIER-CS100,ABERCROMBIE & FITCH FIERCE EDC-S 100ML,85715169587.0,390,80.0,42.5,,,0.0,
02-AF-FIER-CS200,ABERCROMBIE & FITCH FIERCE EDC-S 200ML,85715169594.0,547,118.0,54.5,,,0.0,3392494.0
